=== Pulsing start for timestep 0 at time 25 ===
t=2355405 L1.state=0 done1=0 start=0 | L2.state=0 done2=0 | L3.state=2 done3=0
t=2355415 L1.state=0 done1=0 start=0 | L2.state=0 done2=0 | L3.state=2 done3=0
t=2355425 L1.state=0 done1=0 start=0 | L2.state=0 done2=0 | L3.state=2 done3=0
t=2355435 L1.state=0 done1=0 start=0 | L2.state=0 done2=0 | L3.state=2 done3=0
t=2355445 L1.state=0 done1=0 start=0 | L2.state=0 done2=0 | L3.state=2 done3=0
t=2355455 L1.state=0 done1=0 start=0 | L2.state=0 done2=0 | L3.state=2 done3=0
t=2355465 L1.state=0 done1=0 start=0 | L2.state=0 done2=0 | L3.state=3 done3=0
t=2355475 L1.state=0 done1=0 start=0 | L2.state=0 done2=0 | L3.state=4 done3=0
Timestep 0 complete at time 2355475
t=2355485 L1.state=0 done1=0 start=0 | L2.state=0 done2=0 | L3.state=0 done3=1
t=2355495 L1.state=0 done1=0 start=0 | L2.state=0 done2=0 | L3.state=0 done3=0
=== Pulsing start for timestep 1 at time 2355495 ===
t=2355505 L1.state=0 done1=0 start=0 | L2.state=0 done2=0 | L3.state=0 done3=0
t=2355515 L1.state=0 done1=0 start=0 | L2.state=0 done2=0 | L3.state=0 done3=0
t=2355525 L1.state=0 done1=0 start=0 | L2.state=0 done2=0 | L3.state=0 done3=0
t=2355535 L1.state=0 done1=0 start=0 | L2.state=0 done2=0 | L3.state=0 done3=0
t=2355545 L1.state=0 done1=0 start=0 | L2.state=0 done2=0 | L3.state=0 done3=0
t=2355555 L1.state=0 done1=0 start=0 | L2.state=0 done2=0 | L3.state=0 done3=0
t=2355565 L1.state=0 done1=0 start=0 | L2.state=0 done2=0 | L3.state=0 done3=0
t=2355575 L1.state=0 done1=0 start=0 | L2.state=0 done2=0 | L3.state=0 done3=0
t=2355585 L1.state=0 done1=0 start=0 | L2.state=0 done2=0 | L3.state=0 done3=0
t=2355595 L1.state=0 done1=0 start=0 | L2.state=0 done2=0 | L3.state=0 done3=0
t=2355605 L1.state=0 done1=0 start=0 | L2.state=0 done2=0 | L3.state=0 done3=0
t=2355615 L1.state=0 done1=0 start=0 | L2.state=0 done2=0 | L3.state=0 done3=0
t=2355625 L1.state=0 done1=0 start=0 | L2.state=0 done2=0 | L3.state=0 done3=0
t=2355635 L1.state=0 done1=0 start=0 | L2.state=0 done2=0 | L3.state=0 done3=0
t=2355645 L1.state=0 done1=0 start=0 | L2.state=0 done2=0 | L3.state=0 done3=0
t=2355655 L1.state=0 done1=0 start=0 | L2.state=0 done2=0 | L3.state=0 done3=0
t=2355665 L1.state=0 done1=0 start=0 | L2.state=0 done2=0 | L3.state=0 done3=0
t=2355675 L1.state=0 done1=0 start=0 | L2.state=0 done2=0 | L3.state=0 done3=0
